Month,DayofMonth,DayOfWeek,CarrierName,ActualDeptTime,SchedDeptTime,DeptDelay,ActualArrvTime,SchedArrvTime,ArrvDelay,ActualElapsedTime,SchedElapsedTime,AirTime,TaxiIn,TaxiOut
1,24,TH,Northwest Airlines Inc.,1431,1426,5,1530,1529,1,119,123,97,7,15
1,24,TH,Northwest Airlines Inc.,1152,1200,-8,1256,1305,-9,124,125,97,9,18
1,25,F,Northwest Airlines Inc.,1444,1426,18,1548,1529,19,124,123,99,9,16
1,25,F,Northwest Airlines Inc.,2143,2145,-2,2256,2244,12,133,119,104,5,24
1,25,F,Northwest Airlines Inc.,917,920,-3,1021,1025,-4,124,125,100,9,15
1,26,SA,Northwest Airlines Inc.,916,920,-4,1028,1025,3,132,125,98,9,25
1,26,SA,United Air Lines Inc.,1202,1205,-3,1308,1311,-3,126,126,102,8,16
1,26,SA,United Air Lines Inc.,629,630,-1,742,738,4,133,128,102,8,23
1,26,SA,Northwest Airlines Inc.,2142,2145,-3,2253,2244,9,131,119,95,9,27
1,26,SA,Northwest Airlines Inc.,1424,1426,-2,1516,1529,-13,112,123,96,6,10
1,26,SA,United Air Lines Inc.,838,845,-7,946,1004,-18,128,139,100,7,21
1,27,SU,Northwest Airlines Inc.,2205,2145,20,2312,2244,28,127,119,109,7,11
1,27,SU,United Air Lines Inc.,908,915,-7,1013,1034,-21,125,139,108,5,12
1,27,SU,United Air Lines Inc.,1848,1846,2,1956,1959,-3,128,133,110,6,12
1,28,M,United Air Lines Inc.,1204,1205,-1,1311,1311,0,127,126,108,7,12
1,28,M,United Air Lines Inc.,1441,1450,-9,1551,1554,-3,130,124,108,8,14
1,28,M,United Air Lines Inc.,1842,1849,-7,1951,2000,-9,129,131,106,6,17
1,29,T,Northwest Airlines Inc.,1718,1655,23,1819,1756,23,121,121,96,6,19
1,29,T,Northwest Airlines Inc.,914,920,-6,1016,1025,-9,122,125,99,10,13
1,29,T,United Air Lines Inc.,1201,1205,-4,1300,1311,-11,119,126,104,4,11
1,30,W,United Air Lines Inc.,1843,1849,-6,1950,2000,-10,127,131,104,11,12
1,30,W,United Air Lines Inc.,628,630,-2,744,738,6,136,128,110,7,19
1,30,W,Northwest Airlines Inc.,1425,1426,-1,1525,1529,-4,120,123,100,8,12
1,30,W,United Air Lines Inc.,1156,1205,-9,1300,1311,-11,124,126,108,7,9
1,31,TH,United Air Lines Inc.,1001,915,46,1059,1034,25,118,139,96,7,15
1,31,TH,United Air Lines Inc.,1213,1205,8,1310,1311,-1,117,126,99,5,13
1,31,TH,Northwest Airlines Inc.,1442,1426,16,1541,1529,12,119,123,94,7,18
2,1,F,United Air Lines Inc.,1547,1450,57,1654,1554,60,127,124,106,7,14
2,1,F,United Air Lines Inc.,1923,1845,38,2042,1958,44,139,133,110,8,21
2,1,F,United Air Lines Inc.,1328,1205,83,1443,1311,92,135,126,111,8,16
2,1,F,United Air Lines Inc.,914,630,164,1037,738,179,143,128,112,12,19
2,1,F,Northwest Airlines Inc.,1653,1655,-2,1800,1756,4,127,121,102,10,15
2,2,SA,Northwest Airlines Inc.,1225,1200,25,1328,1305,23,123,125,100,7,16
2,2,SA,United Air Lines Inc.,1213,1205,8,1313,1311,2,120,126,103,7,10
2,2,SA,Northwest Airlines Inc.,1423,1426,-3,1531,1529,2,128,123,101,9,18
2,3,SU,Northwest Airlines Inc.,920,920,0,1030,1025,5,130,125,102,9,19
2,4,M,United Air Lines Inc.,1948,1845,63,2114,1958,76,146,133,118,11,17
2,4,M,United Air Lines Inc.,1340,1205,95,1518,1311,127,158,126,127,6,25
2,6,W,Northwest Airlines Inc.,1200,1200,0,1249,1305,-16,109,125,94,5,10
2,6,W,United Air Lines Inc.,1845,1849,-4,1954,2000,-6,129,131,104,9,16
2,7,TH,United Air Lines Inc.,1300,1205,55,1400,1311,49,120,126,102,6,12
2,7,TH,Northwest Airlines Inc.,1227,1200,27,1333,1305,28,126,125,99,11,16
2,7,TH,Northwest Airlines Inc.,936,920,16,1044,1025,19,128,125,94,8,26
